% function evaluation | noise-free fitness - Fopt (-5.465000000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.528499654e+005 +2.528499654e+005 +2.523034654e+005 +2.523034654e+005 -4.5467e+000 -3.9890e+000 +2.6434e+000 +1.6473e+000 -3.2410e+000 -4.9896e+000 -5.7049e-001 +2.9392e+000 +3.3163e+000 +2.4108e+000 +3.5425e-001 -9.2205e-001 -4.7678e-002 +4.5399e+000 -4.5368e+000 -2.9836e+000 -4.0651e+000 -2.3957e+000 +3.6422e-001 -2.1592e+000
2 +9.124119854e+004 +9.124119854e+004 +9.069469854e+004 +9.069469854e+004 +4.8181e+000 +2.2708e+000 -1.6432e+000 +1.9830e+000 -2.6200e+000 +1.4209e+000 -3.3136e+000 -2.1209e+000 -3.0041e+000 +2.7027e+000 -1.1220e+000 +1.7369e+000 -4.1260e+000 +7.0974e-003 -8.3230e-001 +9.9571e-001 +1.5063e+000 +2.1512e-001 -3.1725e+000 -2.4376e+000
130 +9.570630309e+003 +9.570630309e+003 +9.024130309e+003 +9.024130309e+003 +2.7310e+000 +5.3159e-001 -2.3611e+000 +6.1170e-001 -2.0200e+000 -2.3189e+000 -3.9393e+000 -2.8306e+000 -3.6206e+000 +1.8629e+000 +7.6203e-001 +2.5323e+000 +4.6465e-001 -1.7844e+000 -3.0259e-001 -1.1941e+000 +1.7357e+000 +4.9003e-001 -9.9503e-001 +2.3696e+000
185 +2.579307804e+002 +2.579307804e+002 -2.885692196e+002 -2.885692196e+002 +2.5495e+000 +7.4203e-001 -1.4860e+000 +4.3301e-002 -3.1605e-001 -1.6239e+000 -1.8893e+000 +2.3738e-002 -3.2768e+000 +1.4761e+000 +3.1539e-001 +1.9150e+000 +3.9648e-001 -2.6504e+000 +1.9154e+000 -3.0860e-001 +1.1330e+000 -2.3023e+000 -1.7060e+000 +2.4688e+000
187 +1.692391040e+002 +1.692391040e+002 -3.772608960e+002 -3.772608960e+002 +2.5886e+000 +6.9539e-001 -1.6831e+000 +1.8283e-001 -6.9965e-001 -1.7772e+000 -2.3401e+000 -6.0646e-001 -3.3788e+000 +1.5900e+000 +3.6082e-001 +1.9974e+000 +4.1543e-001 -2.5039e+000 +1.4405e+000 -5.6946e-001 +1.2616e+000 -1.8187e+000 -1.5531e+000 +2.4524e+000
189 +1.550834506e+002 +1.550834506e+002 -3.914165494e+002 -3.914165494e+002 +2.6046e+000 +6.7643e-001 -1.7631e+000 +2.3955e-001 -8.5557e-001 -1.8395e+000 -2.5233e+000 -8.6261e-001 -3.4203e+000 +1.6363e+000 +3.7929e-001 +2.0308e+000 +4.2314e-001 -2.4444e+000 +1.2474e+000 -6.7549e-001 +1.3138e+000 -1.6221e+000 -1.4910e+000 +2.4458e+000
244 +4.282558844e+001 +4.282558844e+001 -5.036744116e+002 -5.036744116e+002 +2.3878e+000 +7.7390e-001 -1.3783e+000 +2.2965e-001 -7.7064e-001 -1.7505e+000 -2.2017e+000 -1.1377e+000 -1.6740e+000 +1.6611e+000 +2.1896e-001 +1.8490e+000 +4.2050e-001 -2.6014e+000 +1.3955e+000 -6.8938e-001 +1.1715e+000 -1.9701e+000 -1.1918e+000 +1.1303e+000
245 +4.248712156e+000 +4.248712156e+000 -5.422512878e+002 -5.422512878e+002 +2.4939e+000 +7.2709e-001 -1.5627e+000 +2.3010e-001 -8.0047e-001 -1.7897e+000 -2.3466e+000 -9.8128e-001 -2.5359e+000 +1.6452e+000 +2.9694e-001 +1.9365e+000 +4.2120e-001 -2.5283e+000 +1.3373e+000 -6.7416e-001 +1.2379e+000 -1.8131e+000 -1.3449e+000 +1.7826e+000
252 +3.917975008e+000 +3.917975008e+000 -5.425820250e+002 -5.425820250e+002 +2.5176e+000 +7.1665e-001 -1.6038e+000 +2.3020e-001 -8.0712e-001 -1.7984e+000 -2.3790e+000 -9.4638e-001 -2.7282e+000 +1.6416e+000 +3.1434e-001 +1.9560e+000 +4.2136e-001 -2.5120e+000 +1.3243e+000 -6.7077e-001 +1.2527e+000 -1.7781e+000 -1.3791e+000 +1.9281e+000
5264 +2.177962893e+000 +2.177962893e+000 -5.443220371e+002 -5.443220371e+002 +6.2466e-001 +1.6967e+000 +6.1049e-001 -2.5129e+000 -3.9593e-001 -2.7802e+000 -1.1271e+000 +2.3737e+000 +1.3574e-001 +5.8044e-001 +5.4712e-001 +2.5709e+000 +7.0710e-001 -1.3087e+000 +7.8442e-001 -5.8476e-001 +2.4026e+000 -2.1385e+000 -2.1250e+000 +1.7442e+000
