% function evaluation | noise-free fitness - Fopt (1.491500000000e+002) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.129385816e+005 +3.129385816e+005 +3.130877316e+005 +3.130877316e+005 -4.4083e+000 -2.2608e+000 -1.4748e+000 +1.7488e-001 -1.2003e+000 -2.3746e+000 +3.7695e-002 +9.8721e-001 +4.5215e+000 +3.0591e+000 +2.9103e+000 -2.1083e+000 -1.6907e+000 -4.9399e+000 +1.7943e+000 +7.5429e-001 -4.2627e+000 +4.3775e+000 -3.4855e+000 -2.1683e+000
13 +2.343970165e+005 +2.343970165e+005 +2.345461665e+005 +2.345461665e+005 +2.2601e+000 +4.0981e+000 -1.4763e+000 -2.3003e+000 +1.2827e+000 +2.1781e-001 +1.4670e-001 -5.6367e-001 +4.1770e-002 -8.0888e-001 -2.2939e+000 -1.4651e+000 +4.5155e+000 -2.5720e+000 +2.7281e+000 +2.4225e+000 +5.6496e-001 -4.0269e+000 -4.7016e+000 -4.6001e+000
154 +1.901107363e+004 +1.901107363e+004 +1.916022363e+004 +1.916022363e+004 -2.1748e-001 -2.2071e+000 +6.9264e-001 +1.9209e+000 -3.9956e+000 -4.0634e+000 -7.5310e-001 -2.0884e+000 +2.1534e-001 +4.9247e-002 -4.8101e+000 -1.4176e+000 +4.1876e+000 -6.8622e-001 -1.9225e+000 -1.7573e+000 +1.1183e+000 -7.4650e-001 -4.4539e+000 +7.5963e+000
218 +3.912253630e+003 +3.912253630e+003 +4.061403630e+003 +4.061403630e+003 -2.2245e-002 -1.9887e+000 +1.4631e-001 +1.4902e+000 -3.6632e+000 -3.8785e+000 -9.0735e-001 -2.3903e+000 +5.5504e-002 -4.8978e-001 -3.5100e+000 -1.6259e+000 +2.4032e+000 -8.4299e-001 -2.3044e+000 -1.4387e+000 -4.8467e-001 -6.3393e-001 -6.3588e+000 +6.9625e+000
279 +2.483947283e+003 +2.483947283e+003 +2.633097283e+003 +2.633097283e+003 -2.1452e-001 -1.8230e+000 -1.5443e-001 +1.2854e+000 -3.5611e+000 -3.3567e+000 -9.7001e-001 -2.4750e+000 -2.2022e-001 -6.5003e-001 -3.3893e+000 -1.2397e+000 +2.6276e+000 -1.2966e+000 -2.5204e+000 -1.2413e+000 -7.5176e-001 -4.7936e-001 -5.6886e+000 +7.0103e+000
637 +5.299865542e+002 +5.299865542e+002 +6.791365542e+002 +6.791365542e+002 -1.2141e+000 -1.6173e+000 -7.1662e-001 -2.9626e-001 -2.7109e+000 -1.9840e+000 -9.5060e-001 -1.7938e+000 -2.4967e-001 -2.6441e-001 -3.2163e+000 -3.8650e-001 +1.6572e+000 -2.1358e+000 -8.8976e-001 -1.1602e+000 -9.5050e-001 -6.2519e-001 -2.7938e+000 -4.1093e+000
700 +3.331536943e+002 +3.331536943e+002 +4.823036943e+002 +4.823036943e+002 -8.3634e-001 -1.6934e+000 -6.9601e-001 -3.0275e-002 -3.5852e+000 -1.6240e+000 -1.2882e+000 -1.3822e+000 -5.2308e-001 -2.2158e-001 -3.1537e+000 -2.9040e-001 +1.7306e+000 -2.2377e+000 -1.0475e+000 -9.5548e-001 -9.4495e-001 -5.4081e-001 -2.9151e+000 -4.0295e+000
761 +2.209128783e+002 +2.209128783e+002 +3.700628783e+002 +3.700628783e+002 -2.9092e-001 -1.6463e+000 -8.3015e-001 +4.1810e-001 -3.2493e+000 -1.7535e+000 -1.1522e+000 -1.6134e+000 -6.0761e-001 -1.8509e-001 -3.0938e+000 -4.3136e-002 +1.8533e+000 -2.0500e+000 -1.0439e+000 -1.0740e+000 -7.0039e-001 -3.1044e-001 -2.8887e+000 -3.8817e+000
1958 +1.528290459e+002 +1.528290459e+002 +3.019790459e+002 +3.019790459e+002 -1.9830e+000 -9.0299e-001 -5.3288e-001 +9.1948e-001 -3.3850e+000 -2.4522e+000 -1.8471e+000 -2.5031e+000 -6.3788e-001 -4.8115e-001 -3.1145e+000 +1.4092e-001 +2.0415e+000 -1.3722e+000 -1.8275e+000 -1.3944e+000 -9.7097e-001 -8.5083e-001 -2.5826e+000 -3.5761e+000
2020 +8.443242001e+001 +8.443242001e+001 +2.335824200e+002 +2.335824200e+002 -1.6477e+000 -6.0129e-001 -3.3933e-001 +9.4067e-001 -3.6487e+000 -2.1710e+000 -1.7036e+000 -2.1444e+000 -7.7865e-001 -4.4428e-001 -2.8846e+000 +8.7720e-002 +2.0371e+000 -1.4470e+000 -1.8286e+000 -1.4372e+000 -8.9983e-001 -7.4385e-001 -2.5697e+000 -3.6915e+000
2080 +5.714167290e+001 +5.714167290e+001 +2.062916729e+002 +2.062916729e+002 -1.8811e+000 -7.2221e-001 -3.2087e-001 +1.0385e+000 -3.7277e+000 -2.1143e+000 -1.6776e+000 -1.9807e+000 -8.5532e-001 -4.1898e-001 -2.8026e+000 +2.9471e-002 +2.0039e+000 -1.5608e+000 -1.7841e+000 -1.4828e+000 -8.6889e-001 -6.7770e-001 -2.5989e+000 -3.7900e+000
